review_text,image_path,audio_path,tech_empowerment,visitor_experience,cultural_value,economic_social_gain,q1,q10,q11,q12,q13,q14,q15,q16,q2,q3,q4,q5,q6,q7,q8,q9,q17,q18,q19,q20,提交答卷时间,所用时间,来源,来源详情,17. 这项服务让不同年龄、语言或身体条件的人更容易参与文旅活动。,19. 如果下次再次到访，我愿意继续使用这项服务，并愿意向亲友推荐它。,21. 如果您觉得这次AI文旅体验不舒适，请具体说明:不舒适发生在什么场景或哪项功能中?主要原因是什么?您出现了哪些身体或心理感受（如眩晕、眼疲劳、头痛、紧张、信息过载、被打扰、缺少真实感、隐私担忧等）?您希望如何改进?【开放题】,valid_items,target_score
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:39:27,37秒,微信,,1,1,(空),16,20.0
无需改进,,,25.0,20.0,20.0,20.0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2026/8/6 17:43:11,157秒,微信,,1,1,无需改进,16,21.25
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:43:33,33秒,手机提交,直接访问,1,1,无,16,20.0
(空),,,45.0,40.0,40.0,40.0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 17:43:34,36秒,手机提交,直接访问,2,2,(空),16,41.25
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:43:44,42秒,手机提交,直接访问,1,1,无,16,20.0
无,,,25.0,50.0,35.0,25.0,1,1,2,2,1,1,2,1,1,1,2,2,1,5,2,2,1,1,2,2,2026/8/6 17:43:59,45秒,手机提交,直接访问,1,2,无,16,35.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:44:18,28秒,微信,,1,1,(空),16,20.0
继续努力,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:44:22,44秒,手机提交,直接访问,1,1,继续努力,16,20.0
(空),,,45.0,55.0,40.0,40.0,1,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2026/8/6 17:44:37,100秒,手机提交,直接访问,2,2,(空),16,45.75
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:44:58,34秒,手机提交,直接访问,1,1,无,16,20.0
无,,,35.0,30.0,45.0,30.0,2,3,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2026/8/6 17:45:09,84秒,微信,,2,2,无,16,35.0
整体体验较为良好，未产生眩晕、头痛等生理不适。部分AI讲解信息输出偏多，偶尔存在信息过载。希望后续可以增加内容精简模式，可由游客自主调节讲解信息的详略程度。,,,25.0,20.0,30.0,20.0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 17:45:15,114秒,手机提交,直接访问,1,1,整体体验较为良好，未产生眩晕、头痛等生理不适。部分AI讲解信息输出偏多，偶尔存在信息过载。希望后续可以增加内容精简模式，可由游客自主调节讲解信息的详略程度。,16,23.75
(空),,,35.0,35.0,30.0,35.0,2,1,2,1,2,2,1,2,2,1,2,2,1,3,1,2,2,2,1,2,2026/8/6 17:45:34,26秒,微信,,2,1,(空),16,33.75
无,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 17:45:35,78秒,手机提交,直接访问,2,2,无,16,40.0
(空),,,35.0,40.0,35.0,25.0,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2026/8/6 17:45:43,38秒,微信,,2,2,(空),16,34.5
