序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1. 这项AI文旅服务容易找到、容易启动，我不需要花费太多时间寻找入口。,2. 第一次使用这项服务时，我很快就学会了基本操作。,3. 这项服务响应及时、运行稳定，很少出现卡顿、掉线或重复操作。,4. 这项服务提供的信息、讲解、识别、推荐或执行结果准确可信。,5. 这项服务与当时的场所、游览流程和我的实际需要相匹配。,6. 这项服务减少了我在游览、参观或住宿中的操作负担，使过程更轻松。,7. 使用过程中，我能自主决定节奏和关注内容，不容易感到困惑或失去控制。,8. 这项服务增强了我对现场空间、展项、故事或目的地的沉浸感。,9. 这项服务使本次体验更有趣，激发了我的好奇心和继续探索的愿望。,10. 这项服务让我与人物、故事、地方或同行者产生了更强的情感联系。,11. 这项服务帮助我理解了具体的历史事件、人物、技艺或文化概念。,12. 这项服务帮助我把零散信息联系到更完整的历史、地域或社会背景中。,13. 体验结束后，我还能回想起至少一个通过这项服务新了解到的具体文化知识点。,14. 这项服务尊重史实和文化语境，能够体现真实的地方特色，没有明显歪曲或过度简化。,15. 体验后，我更愿意继续学习、保护、参与相关文化活动，或向他人介绍这些文化内容。,16. 这项服务提高了我在有限时间内获得有效体验的效率，减少了排队、迷路或无效移动。,17. 这项服务让不同年龄、语言或身体条件的人更容易参与文旅活动。,18. 这项服务增强了我延长停留、参与餐饮/文创/演出等延伸消费或为有价值服务付费的意愿。,19. 如果下次再次到访，我愿意继续使用这项服务，并愿意向亲友推荐它。,20. 总体而言，这项AI文旅服务明显改善了我的体验，并提升了我对该场所文旅服务价值的认可。,21. 如果您觉得这次AI文旅体验不舒适，请具体说明:不舒适发生在什么场景或哪项功能中?主要原因是什么?您出现了哪些身体或心理感受（如眩晕、眼疲劳、头痛、紧张、信息过载、被打扰、缺少真实感、隐私担忧等）?您希望如何改进?【开放题】,tech_empowerment,visitor_experience,cultural_value,economic_social_gain,target_score,raw_q1,raw_q10,raw_q11,raw_q12,raw_q13,raw_q14,raw_q15,raw_q16,raw_q2,raw_q3,raw_q4,raw_q5,raw_q6,raw_q7,raw_q8,raw_q9,raw_q17,raw_q18,raw_q19,raw_q20,valid_items
1,2026/8/6 17:39:27,37秒,微信,,153.36.134.22(江苏-徐州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
2,2026/8/6 17:43:11,157秒,微信,,39.144.110.183(山东-临沂),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,无需改进,25.0,20.0,20.0,20.0,21.25,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,16
3,2026/8/6 17:43:33,33秒,手机提交,直接访问,112.224.10.196(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
4,2026/8/6 17:43:34,36秒,手机提交,直接访问,39.144.109.28(山东-聊城),3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,(空),45.0,40.0,40.0,40.0,41.25,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
5,2026/8/6 17:43:44,42秒,手机提交,直接访问,60.216.195.50(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
6,2026/8/6 17:43:59,45秒,手机提交,直接访问,153.36.134.22(江苏-徐州),1,1,1,2,2,1,5,2,2,1,2,2,1,1,2,1,1,1,2,2,无,25.0,50.0,35.0,25.0,35.0,1,1,2,2,1,1,2,1,1,1,2,2,1,5,2,2,1,1,2,2,16
7,2026/8/6 17:44:18,28秒,微信,,113.127.86.248(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
8,2026/8/6 17:44:22,44秒,手机提交,直接访问,106.58.26.51(云南-红河),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,继续努力,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
9,2026/8/6 17:44:37,100秒,手机提交,直接访问,39.144.111.220(山东-济南),1,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,(空),45.0,55.0,40.0,40.0,45.75,1,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,16
10,2026/8/6 17:44:58,34秒,手机提交,直接访问,39.144.0.218(山东-菏泽),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
